label,id,filepath,sentence
1,piece27,midi/BanjoKazooie_Motzhand_128_192,"v_60 d_half_0 n_48 v_60 d_half_0 n_51 v_60 d_half_0 n_55 v_60 d_16th_0 n_72 . . v_60 d_16th_0 n_67 . . v_60 d_eighth_1 n_72 . . . . v_60 d_half_0 n_47 v_60 d_half_0 n_51 v_60 d_half_0 n_56 . . v_60 d_eighth_0 n_71 . . . . v_60 d_eighth_0 n_75 . . v_60 d_half_0 n_48 v_60 d_half_0 n_51 v_60 d_half_0 n_55 v_60 d_16th_0 n_72 . . v_60 d_16th_0 n_67 . . v_60 d_eighth_1 n_72 . . . . v_60 d_half_0 n_46 v_60 d_half_0 n_49 v_60 d_half_0 n_54 . . . . . . v_60 d_eighth_0 n_76 . . v_60 d_half_0 n_48 v_60 d_half_0 n_51 v_60 d_half_0 n_55 v_60 d_16th_0 n_72 . . v_60 d_16th_0 n_67 . . v_60 d_eighth_1 n_72 . . . . v_60 d_half_0 n_47 v_60 d_half_0 n_51 v_60 d_half_0 n_56 . . v_60 d_eighth_0 n_71 . . . . v_60 d_eighth_0 n_75 . . v_60 d_quarter_0 n_48 v_60 d_quarter_0 n_51 v_60 d_quarter_0 n_55 v_60 d_eighth_1 n_72 . . . . v_60 d_quarter_0 n_47 v_60 d_quarter_0 n_50 v_60 d_quarter_0 n_55 v_60 d_16th_0 n_71 . . v_60 d_16th_0 n_74 . . v_60 d_half_0 n_48 v_60 d_half_0 n_51 v_60 d_half_0 n_55 v_60 d_eighth_0 n_75 . . v_60 d_16th_0 n_74 . . . . . . 
"
-1,piece42,midi/Super_Mario_64_KoopasTheme_640_688,"t_109 v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_36 . . v_108 d_eighth_0 n_38 v_108 d_eighth_0 n_40 v_108 d_eighth_0 n_45 . . v_108 d_eighth_0 n_38 v_108 d_eighth_0 n_45 v_108 d_eighth_0 n_50 . . v_108 d_eighth_0 n_38 v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_57 . . v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_51 v_108 d_eighth_1 n_56 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_50 v_108 d_eighth_1 n_55 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_38 v_108 d_eighth_1 n_48 v_108 d_eighth_1 n_53 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_38 v_108 d_eighth_0 n_45 v_108 d_eighth_0 n_50 . . v_108 d_eighth_0 n_38 v_108 d_half_0 n_45 v_108 d_half_0 n_50 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_38 . . v_108 d_quarter_2 n_38 . . . . . . . . 
"
1,piece70,midi/BanjoKazooie_Ending_128_192,"t_109 v_68 d_quarter_0 n_36 v_68 d_quarter_0 n_72 . . . . v_52 d_eighth_0 n_79 . . v_52 d_eighth_1 n_79 . . v_64 d_quarter_0 n_40 t_109 . t_107 . t_107 . t_107 . v_64 d_quarter_0 n_43 t_107 . t_107 . t_107 . t_105 . t_109 . . . v_64 d_quarter_0 n_36 . . v_64 d_quarter_0 n_79 . . v_64 d_16th_0 n_39 . v_64 d_quarter_0 n_40 . v_64 d_eighth_0 n_79 . . v_64 d_16th_0 n_77 . v_64 d_quarter_0 n_43 . v_64 d_quarter_0 n_76 . . . v_68 d_quarter_0 n_29 v_68 d_quarter_0 n_72 . . . . v_52 d_eighth_0 n_77 . . v_52 d_eighth_1 n_77 . . v_64 d_quarter_0 n_33 . . . . v_64 d_quarter_0 n_36 . . . . . . . v_64 d_quarter_0 n_31 . . v_64 d_quarter_0 n_74 . . v_64 d_16th_0 n_31 . v_64 d_quarter_0 n_35 . v_64 d_eighth_0 n_74 . . v_64 d_16th_0 n_72 . v_64 d_quarter_0 n_38 . v_64 d_eighth_1 n_71 . . . 
"
-1,piece49,midi/Final_Fantasy_7_WeaponRaid_368_432,"t_128 v_92 d_eighth_0 n_47 v_92 d_eighth_0 n_74 . . v_92 d_eighth_0 n_47 v_92 d_eighth_0 n_73 . . v_92 d_eighth_0 n_71 . . v_92 d_eighth_0 n_73 . . v_92 d_eighth_1 n_54 v_92 d_eighth_1 n_74 . . . . v_92 d_eighth_1 n_52 v_92 d_eighth_1 n_76 . . . . v_92 d_eighth_0 n_50 v_92 d_eighth_1 n_65 v_92 d_half_3 n_77 . . v_92 d_eighth_0 n_50 . . v_92 d_eighth_0 n_62 . . v_92 d_eighth_0 n_64 . . v_92 d_eighth_1 n_57 v_92 d_eighth_1 n_65 . . . . v_92 d_eighth_1 n_55 v_92 d_eighth_0 n_62 . . v_92 d_eighth_0 n_64 . . v_92 d_eighth_0 n_50 v_92 d_eighth_0 n_65 . . v_92 d_eighth_0 n_50 v_92 d_eighth_0 n_64 . . v_92 d_eighth_0 n_62 . . v_92 d_eighth_0 n_64 . . v_92 d_eighth_1 n_57 v_92 d_eighth_1 n_65 . . . . v_92 d_eighth_1 n_55 v_92 d_eighth_1 n_67 . . . . v_92 d_eighth_0 n_49 v_92 d_half_3 n_68 v_92 d_eighth_1 n_76 . . v_92 d_eighth_0 n_49 . . v_92 d_eighth_0 n_73 . . v_92 d_eighth_0 n_75 . . v_92 d_eighth_1 n_56 v_92 d_eighth_1 n_76 . . . . v_92 d_eighth_1 n_54 v_92 d_eighth_0 n_73 . . v_92 d_eighth_0 n_75 . . 
"
1,piece43,midi/Final_Fantasy_7_MiningTown_128_192,"t_59 v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . . . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 . v_108 d_16th_0 n_64 . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 v_108 d_16th_0 n_67 . v_108 d_16th_0 n_71 . v_108 d_eighth_0 n_47 v_108 d_16th_0 n_69 . v_108 d_16th_0 n_64 . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_16th_0 n_67 . v_108 d_16th_0 n_71 . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 v_108 d_eighth_0 n_69 . . v_108 d_16th_0 n_67 . v_108 d_16th_0 n_69 . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 . v_108 d_16th_0 n_76 . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 v_108 d_16th_0 n_79 . v_108 d_16th_0 n_83 . v_108 d_eighth_0 n_47 v_108 d_16th_0 n_86 . v_108 d_16th_0 n_85 . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_eighth_0 n_83 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 v_108 d_16th_0 n_81 . v_108 d_16th_0 n_85 . v_108 d_eighth_0 n_83 . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_eighth_0 n_79 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 v_108 d_eighth_1 n_81 . . v_108 d_eighth_0 n_47 . v_108 d_16th_0 n_78 . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_eighth_0 n_79 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . v_108 d_eighth_1 n_76 . . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_quarter_0 n_64 v_108 d_quarter_0 n_67 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . . v_108 d_eighth_0 n_47 . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_quarter_0 n_62 v_108 d_quarter_0 n_66 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . . . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 v_108 d_half_0 n_61 v_108 d_half_0 n_64 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . . v_108 d_eighth_0 n_47 . . v_108 d_eighth_0 n_50 v_108 d_eighth_0 n_57 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_59 . . . . 
"
1,piece87,midi/Donkey_Kong_Country_2_HotHeadBop_0_64,"v_56 d_16th_0 n_33 t_109 . v_52 d_16th_0 n_33 . . . . . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . . . . . . v_52 d_16th_0 n_33 . v_56 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . v_64 d_eighth_0 n_28 . . v_64 d_eighth_0 n_31 . . v_64 d_eighth_0 n_32 . . v_56 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . . . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . . . . . . v_52 d_16th_0 n_33 . v_56 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . v_52 d_16th_0 n_33 . . . v_64 d_eighth_0 n_28 . . v_64 d_eighth_0 n_31 . . v_64 d_eighth_0 n_32 . . 
"
-1,piece7,midi/Goldeneye_Dam_384_448,"t_149 v_68 d_eighth_0 n_47 v_68 d_16th_0 n_64 . v_64 d_16th_0 n_66 . v_60 d_eighth_0 n_40 v_64 d_16th_0 n_67 . v_64 d_16th_0 n_64 . v_64 d_eighth_0 n_40 v_60 d_quarter_1 n_64 v_60 d_quarter_1 n_71 . . v_60 d_eighth_0 n_40 . . v_64 d_eighth_0 n_47 . . v_60 d_eighth_0 n_40 . . v_64 d_eighth_0 n_40 v_60 d_quarter_0 n_64 v_60 d_quarter_0 n_71 . . v_60 d_eighth_0 n_40 . . v_68 d_eighth_0 n_48 v_68 d_16th_0 n_64 . v_64 d_16th_0 n_66 . v_64 d_eighth_0 n_41 v_64 d_16th_0 n_67 . v_64 d_16th_0 n_64 . v_64 d_eighth_0 n_41 v_60 d_quarter_1 n_64 v_60 d_quarter_1 n_72 . . v_64 d_eighth_0 n_41 . . v_64 d_eighth_0 n_48 . . v_64 d_eighth_0 n_41 . . v_64 d_eighth_0 n_41 v_60 d_quarter_0 n_64 v_60 d_quarter_0 n_72 . . v_64 d_eighth_0 n_41 . . v_68 d_eighth_0 n_49 v_68 d_16th_0 n_64 . v_64 d_16th_0 n_66 . v_64 d_eighth_0 n_42 v_64 d_16th_0 n_67 . v_64 d_16th_0 n_64 . v_64 d_eighth_0 n_42 v_60 d_quarter_1 n_64 v_60 d_quarter_1 n_73 . . v_64 d_eighth_0 n_42 . . v_64 d_eighth_0 n_49 . . v_64 d_eighth_0 n_42 . . v_64 d_eighth_0 n_42 v_60 d_quarter_0 n_64 v_60 d_quarter_0 n_73 . . v_64 d_eighth_0 n_42 . . v_68 d_eighth_0 n_48 v_68 d_16th_0 n_64 . v_64 d_16th_0 n_66 . v_64 d_eighth_0 n_41 v_64 d_16th_0 n_67 . v_64 d_16th_0 n_64 . v_64 d_eighth_0 n_41 v_60 d_quarter_1 n_64 v_60 d_quarter_1 n_72 . . v_64 d_eighth_0 n_41 . . v_64 d_eighth_0 n_48 . . v_64 d_eighth_0 n_41 . . v_64 d_eighth_0 n_41 v_64 d_quarter_0 n_64 v_64 d_quarter_0 n_72 . . v_64 d_eighth_0 n_41 . . 
"
1,piece55,midi/Super_Mario_World_Overworld2_688_736,"t_139 v_108 d_eighth_0 n_41 v_108 d_eighth_0 n_72 v_108 d_eighth_0 n_76 . . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_57 . v_108 d_eighth_1 n_69 v_108 d_eighth_1 n_72 . v_108 d_eighth_0 n_41 . . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_57 v_108 d_eighth_0 n_67 . . v_108 d_eighth_0 n_40 v_108 d_eighth_0 n_67 v_108 d_eighth_0 n_72 v_108 d_eighth_0 n_76 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_55 . v_108 d_quarter_0 n_67 v_108 d_quarter_0 n_72 . v_108 d_eighth_0 n_40 . . v_108 d_eighth_0 n_52 v_108 d_eighth_0 n_55 . . v_108 d_eighth_0 n_39 v_108 d_16th_0 n_72 v_108 d_16th_0 n_75 . v_108 d_16th_0 n_72 . v_108 d_eighth_0 n_51 v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_67 . . v_108 d_eighth_0 n_39 v_108 d_quarter_0 n_74 v_108 d_quarter_0 n_79 . . v_108 d_eighth_0 n_51 v_108 d_eighth_0 n_55 . . v_108 d_eighth_0 n_38 . . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_57 . . v_108 d_eighth_0 n_43 . . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_59 . . v_108 d_eighth_0 n_48 v_108 d_eighth_0 n_67 v_108 d_eighth_0 n_72 v_108 d_eighth_0 n_76 . . v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_60 . . v_108 d_eighth_0 n_48 v_108 d_eighth_0 n_67 v_108 d_eighth_0 n_72 . . v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_60 . v_108 d_16th_0 n_67 . v_108 d_eighth_0 n_46 v_108 d_16th_0 n_64 v_108 d_16th_0 n_69 . v_108 d_16th_0 n_67 v_108 d_16th_0 n_72 . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_60 . v_108 d_eighth_1 n_67 v_108 d_eighth_1 n_72 . v_108 d_eighth_0 n_46 . . v_108 d_eighth_0 n_53 v_108 d_eighth_0 n_55 v_108 d_eighth_0 n_60 . v_108 d_16th_0 n_74 . 
"
-1,piece47,midi/Super_Mario_Bros_Underworld_0_64,"v_108 d_16th_0 n_36 v_108 d_16th_0 n_48 t_89 . v_108 d_16th_0 n_60 . v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 . v_108 d_16th_0 n_57 . v_108 d_16th_0 n_34 v_108 d_16th_0 n_46 . v_108 d_16th_0 n_58 . . . . . . . v_108 d_16th_0 n_36 v_108 d_16th_0 n_48 . v_108 d_16th_0 n_60 . v_108 d_16th_0 n_33 v_108 d_16th_0 n_45 . v_108 d_16th_0 n_57 . v_108 d_16th_0 n_34 v_108 d_16th_0 n_46 . v_108 d_16th_0 n_58 . . . . . . . v_108 d_16th_0 n_29 v_108 d_16th_0 n_41 . v_108 d_16th_0 n_53 . v_108 d_16th_0 n_26 v_108 d_16th_0 n_38 . v_108 d_16th_0 n_50 . v_108 d_16th_0 n_27 v_108 d_16th_0 n_39 . v_108 d_16th_0 n_51 . . . . . . . v_108 d_16th_0 n_29 v_108 d_16th_0 n_41 . v_108 d_16th_0 n_53 . v_108 d_16th_0 n_26 v_108 d_16th_0 n_38 . v_108 d_16th_0 n_50 . v_108 d_16th_0 n_27 v_108 d_16th_0 n_39 . v_108 d_16th_0 n_51 . . . . . v_108 d_16th_0 n_38 n_39 v_108 d_16th_0 n_50 n_51 . v_108 d_16th_0 n_37 v_108 d_16th_0 n_49 . v_108 d_16th_0 n_36 v_108 d_16th_0 n_48 . . v_108 d_16th_0 n_39 v_108 d_16th_0 n_51 . . v_108 d_16th_0 n_38 v_108 d_16th_0 n_50 . . v_108 d_16th_0 n_32 v_108 d_16th_0 n_44 . . v_108 d_16th_0 n_31 v_108 d_16th_0 n_43 . . v_108 d_16th_0 n_37 v_108 d_16th_0 n_49 . . v_108 d_16th_0 n_36 v_108 d_16th_0 n_48 . v_108 d_16th_0 n_41 n_42 v_108 d_16th_0 n_53 n_54 . v_108 d_16th_0 n_40 v_108 d_16th_0 n_46 v_108 d_16th_0 n_52 v_108 d_16th_0 n_58 . v_108 d_16th_0 n_45 v_108 d_16th_0 n_57 . 
"
1,piece3,midi/Legend_Of_Zelda_The_Ocarina_Of_Time_WindmillHut_64_128,"t_176 v_80 d_half_0 n_50 v_80 d_half_0 n_55 v_80 d_half_0 n_59 . . . . . . . . v_80 d_quarter_0 n_38 . . . . v_80 d_quarter_0 n_50 v_80 d_quarter_0 n_57 v_80 d_quarter_0 n_60 . . . . v_80 d_quarter_0 n_50 v_80 d_quarter_0 n_57 v_80 d_quarter_0 n_60 . . . . v_80 d_quarter_0 n_38 . . . . v_80 d_half_0 n_50 v_80 d_half_0 n_55 v_80 d_half_0 n_59 . . . . . . . . v_80 d_quarter_0 n_38 v_80 d_eighth_0 n_62 . . v_80 d_eighth_0 n_65 . . v_80 d_quarter_0 n_50 v_80 d_quarter_0 n_53 v_80 d_quarter_0 n_57 v_80 d_half_0 n_74 . . . . v_80 d_quarter_0 n_50 v_80 d_quarter_0 n_53 v_80 d_quarter_0 n_57 . . . . v_80 d_quarter_0 n_38 v_80 d_eighth_0 n_62 . . v_80 d_eighth_0 n_65 . . v_80 d_half_0 n_50 v_80 d_half_0 n_55 v_80 d_half_0 n_59 v_80 d_half_0 n_74 . . . . . . . . v_80 d_quarter_0 n_38 v_80 d_quarter_1 n_76 . . . . v_80 d_quarter_0 n_50 v_80 d_quarter_0 n_57 v_80 d_quarter_0 n_60 . . v_80 d_eighth_0 n_77 . . 
"
